FileName	ARTIST	TITLE	Prexisting data?	Transcriber	Transcription Date	Comments	ChangesToMcGillTranscription
SpandauBallet_True_1983	Spandau Ballet	TRUE	""	Jonathan	2019-xx-xx	""	""
NakedEyes_AlwaysSomethingThereToRemindMe_1983	Naked Eyes	Always Something There To Remind Me	""	Jonathan	2019-xx-xx	""	""
WilsonPhillips_HoldOn_1990	Wilson Phillips	Hold On	midi	Jonathan	2019-xx-xx	""	""
BizMarkie_JustAFriend_1990	Biz Markie	Just A Friend	""	Jonathan	2019-xx-xx	""	""
YoungMC_BustAMove_1990	Young MC	Bust A Move	""	Jonathan	2019-xx-xx	""	""
ElvisPresley_GuitarMan_1968	Elvis Presley	Guitar Man	midi	Jonathan	2019-xx-xx	""	""
JerryJeffWalker_MrBojangles_1968	Jerry Jeff Walker	Mr. Bojangles	""	Jonathan	2019-xx-xx	""	""
CreedenceClearwaterRevival_IPutASpellOnYou_1968	Creedence Clearwater Revival	I Put A Spell On You	midi	Jonathan	2019-xx-xx	""	""
SimonAndGarfunkel_TheSoundsOfSilence_1965	Simon & Garfunkel	The Sounds Of Silence	midi	Jonathan	2019-xx-xx	""	""
TheBeatles_IDontWantToSpoilTheParty_1965	The Beatles	I Don't Want To Spoil The Party	midi	Jonathan	2019-xx-xx	""	""
DeanMartin_IWill_1965	Dean Martin	I Will	""	Jonathan	2019-xx-xx	""	""
FloydCramer_LastDate_1960	Floyd Cramer	Last Date	UPRFB	Jonathan	2019-xx-xx	""	""
TheVentures_Perfidia_1960	The Ventures	Perfidia	midi	Jonathan	2019-xx-xx	""	"""""Chorus"""" relabbeled """"Verse"""", 'Verse' relabbeled 'Bridge' (it's AABA) "
JimmyReed_BabyWhatYouWantMeToDo_1960	Jimmy Reed	Baby What You Want Me To Do	""	Jonathan	2019-xx-xx	""	""
ChuckBerry_AlmostGrown_1959	Chuck Berry	Almost Grown	midi	Jonathan	2019-xx-xx	""	""
CliffRichard_LivingDoll_1959	Cliff Richard	Living Doll	midi	Jonathan	2019-xx-xx	""	""
LaVernBaker_ICriedATear_1959	LaVern Baker	I Cried A Tear	""	Jonathan	2019-xx-xx	""	""
PeggyLee_Fever_1958	Peggy Lee	Fever	midi	Jonathan	2019-xx-xx	""	""
JohnnyCash_TheWaysOfAWomanInLove_1958	Johnny Cash	The Ways Of A Woman In Love	midi	Jonathan	2019-xx-xx	""	""
ChuckBerry_SweetLittleRockAndRoll_1958	Chuck Berry	Sweet Little Rock And Roll	""	Jonathan	2019-xx-xx	""	""
PetShopBoys_AlwaysOnMyMind_1988	Pet Shop Boys	Always On My Mind	midi	Jonathan	2019-xx-xx	""	""
EricCarmen_HungryEyes_1988	Eric Carmen	Hungry Eyes (from the film Dirty Dancing)	midi	Jonathan	2019-xx-xx	""	""
RobBase_ItTakesTwo_1988	Rob Base	It Takes Two	""	Jonathan	2019-xx-xx	""	""
