RANK	TITLE	ARTIST
167	Let's Get It On	Marvin Gaye
168	Papa Was A Rollin' Stone	The Temptations
169	Losing My Religion	R.E.M.
170	Both Sides Now	Joni Mitchell
171	Dancing Queen	ABBA
172	Dream On	Aerosmith
173	God Save the Queen	The Sex Pistols
174	Paint It Black	The Rolling Stones
175	I Fought the Law	The Bobby Fuller Four
176	Don't Worry Baby	The Beach Boys
177	Free Fallin'	Tom Petty
178	September Gurls	Big Star
179	Love Will Tear Us Apart	Joy Division
180	Hey Ya!	Outkast
181	Green Onions	Booker T. and the MGs
182	Save the Last Dance for Me	The Drifters
183	The Thrill Is Gone	B.B. King
184	Please Please Me	The Beatles
185	Desolation Row	Bob Dylan
186	I Never Loved A Man (The Way I Love You)	Aretha Franklin
187	Back in Black	AC/DC
188	Who'll Stop the Rain	Creedence Clearwater Revival
189	Stayin' Alive	The Bee Gees
190	Knocking on Heaven's Door	Bob Dylan
191	Free Bird	Lynyrd Skynyrd
192	Wichita Lineman	Glen Campbell
193	There Goes My Baby	The Drifters
194	Peggy Sue	Buddy Holly
195	Maybe	The Chantels
196	Sweet Child O' Mine	Guns N' Roses
197	Don't Be Cruel	Elvis Presley
198	Hey Joe	Jimi Hendrix
199	Flash Light	Parliament
200	Loser	Beck
201	Bizarre Love Triangle	New Order
202	Come Together	The Beatles
203	Positively 4th Street	Bob Dylan
204	Try a Little Tenderness	Otis Redding
205	Lean On Me	Bill Withers
206	Reach Out, I'll Be There	The Four Tops
207	Bye Bye Love	The Everly Brothers
208	Gloria	Them
209	In My Room	The Beach Boys
210	96 Tears	? and the Mysterians
211	Caroline, No	The Beach Boys
212	1999	Prince
213	Your Cheatin' Heart	Hank Williams
214	Rockin' in the Free World	Neil Young
215	Sh-Boom	The Chords
216	Do You Believe in Magic	The Lovin' Spoonful
217	Jolene	Dolly Parton
218	Boom Boom	John Lee Hooker
219	Spoonful	Howlin' Wolf
220	Walk Away Renee	The Left Banke
221	Walk on the Wild Side	Lou Reed
222	Oh, Pretty Woman	Roy Orbison
223	Dance to the Music	Sly and the Family Stone
224	Good Times	Chic
225	Hoochie Coochie Man	Muddy Waters
226	Moondance	Van Morrison
227	Fire and Rain	James Taylor
228	Should I Stay or Should I Go	The Clash
229	Mannish Boy	Muddy Waters
230	Just Like a Woman	Bob Dylan
231	Sexual Healing	Marvin Gaye
232	Only the Lonely	Roy Orbison
233	We Gotta Get Out of This Place	The Animals
