FileName	Rolling Stone Rank	TITLE	ARTIST	Release Year	RS 5x20 subset	Lyric subset	YoutubeLink
SimonAndGarfunkel_TheSoundsOfSilence_1965	156	The Sounds of Silence	Simon and Garfunkel	1965	FALSE	FALSE	https://www.youtube.com/watch?v=nwP3vPQi0nI
BobDylan_TheTimesTheyAreAChangin_1964	59	The Times They Are A-Changin'	Bob Dylan	1964	FALSE	FALSE	https://www.youtube.com/watch?v=90WD_ats6eE
TheMiracles_TheTracksOfMyTears_1965	50	The Tracks of My Tears	The Miracles	1965	FALSE	FALSE	https://www.youtube.com/watch?v=Vjw2dSRVCPE
TheBand_TheWeight_1968	41	The Weight	The Band	1968	FALSE	FALSE	https://www.youtube.com/watch?v=eG409WzvTtQ
BruceSpringsteen_ThunderRoad_1975	86	Thunder Road	Bruce Springsteen	1975	TRUE	TRUE	https://www.youtube.com/watch?v=6O3MO2y30fU
LittleRichard_TuttiFrutti_1955	43	Tutti Frutti	Little Richard	1955	TRUE	FALSE	https://www.youtube.com/watch?v=Cj059o9OwqY
TheDrifters_UpOnTheRoof_1962	113	Up On the Roof	The Drifters	1962	FALSE	FALSE	https://www.youtube.com/watch?v=puM1k-S86nE
JimiHendrix_VoodooChild_1968	101	Voodoo Child (Slight Return)	Jimi Hendrix	1968	FALSE	FALSE	https://www.youtube.com/watch?v=IZBlqcbpmxY
DionneWarwick_WalkOnBy_1964	70	Walk On By	Dionne Warwick	1964	FALSE	FALSE	https://www.youtube.com/watch?v=FGgxMO15sE
TheKinks_WaterlooSunset_1967	42	Waterloo Sunset	The Kinks	1967	FALSE	FALSE	https://www.youtube.com/watch?v=N_MqfF0WBsU
RayCharles_WhatdISay_1959	10	What'd I Say	Ray Charles	1959	TRUE	TRUE	https://www.youtube.com/watch?v=EPLZL4sJtI
MarvinGaye_WhatsGoingOn_1971	4	What's Going On	Marvin Gaye	1971	TRUE	TRUE	https://www.youtube.com/watch?v=H-kA3UtBj4M
PercySledge_WhenAManLovesAWoman_1966	54	When a Man Loves a Woman	Percy Sledge	1966	FALSE	FALSE	https://www.youtube.com/watch?v=EYb84BDMbi0
Prince_WhenDovesCry_1984	52	When Doves Cry	Prince and the Revolution	1984	TRUE	TRUE	https://www.youtube.com/watch?v=UG3VcCAlUgE
TheBeatles_WhileMyGuitarGentlyWeeps_1968	135	While My Guitar Gently Weeps	The Beatles	1968	FALSE	FALSE	https://www.youtube.com/watch?v=YEMEAxlYL04
BoDiddley_WhoDoYouLove_1957	132	Who Do You Love	Bo Diddley	1957	FALSE	FALSE	https://www.youtube.com/watch?v=8w9Eii9ZFsQ
LedZeppelin_WholeLottaLove_1969	75	Whole Lotta Love	Led Zeppelin	1969	FALSE	FALSE	https://www.youtube.com/watch?v=HQmmMQwG4k
JerryLeeLewis_WholeLottaShakinGoinOn_1957	61	Whole Lotta Shakin' Goin On	Jerry Lee Lewis	1957	TRUE	FALSE	https://www.youtube.com/watch?v=Fw7SBF-35Es
TheShirelles_WillYouLoveMeTomorrow_1960	125	Will You Love Me Tomorrow	The Shirelles	1960	FALSE	FALSE	https://www.youtube.com/watch?v=4955hA_hcB4
U2_WithOrWithoutYou_1987	131	With or Without You	U2	1987	TRUE	TRUE	https://www.youtube.com/watch?v=WZKnQRkWzLI
TheWho_WontGetFooledAgain_1971	133	Won't Get Fooled Again	The Who	1971	FALSE	FALSE	https://www.youtube.com/watch?v=SHhrZgojY1Q
TheBeatles_Yesterday_1965	13	Yesterday	The Beatles	1965	TRUE	TRUE	https://www.youtube.com/watch?v=wXTJBr9tt8Q
TheRollingStones_YouCantAlwaysGetWhatYouWant_1969	100	You Can't Always Get What You Want	The Rolling Stones	1969	FALSE	FALSE	https://www.youtube.com/watch?v=Ef9QnZVpVd8
TheKinks_YouReallyGotMe_1964	82	You Really Got Me	The Kinks	1964	FALSE	FALSE	https://www.youtube.com/watch?v=fTTsY-oz6Go
SamCooke_YouSendMe_1957	115	You Send Me	Sam Cooke	1957	FALSE	FALSE	https://www.youtube.com/watch?v=mrwfB4aAZZc
TheRighteousBrothers_YouveLostThatLovinFeelin_1964	34	You've Lost That Lovin' Feelin'	The Righteous Brothers	1964	FALSE	FALSE	https://www.youtube.com/watch?v=uOnYY9Mw2Fg
EltonJohn_YourSong_1970	136	Your Song	Elton John	1970	FALSE	FALSE	https://www.youtube.com/watch?v=mXuUtEDp_Mo
