FileName	Rolling Stone Rank	TITLE	ARTIST	Release Year	RS 5x20 subset	Lyric subset	YoutubeLink
Aerosmith_DreamOn_1973	172	Dream On	Aerosmith	1973	FALSE	FALSE	https://www.youtube.com/watch?v=Pj5kNX2h8Qg
ThePenguins_EarthAngel_1954	151	Earth Angel	The Penguins	1954	FALSE	FALSE	https://www.youtube.com/watch?v=VJcGi4-n_Yw
TheByrds_EightMilesHigh_1966	150	Eight Miles High	The Byrds	1966	FALSE	FALSE	https://www.youtube.com/watch?v=J74ttSR8lEg
TheBeatles_EleanorRigby_1966	137	Eleanor Rigby	The Beatles	1966	FALSE	FALSE	https://www.youtube.com/watch?v=HuS5NuXRb5Y
Metallica_EnterSandman_1991	399	Enter Sandman	Metallica	1991	TRUE	TRUE	https://www.youtube.com/watch?v=_W7wqQwa-TU
ThePolice_EveryBreathYouTake_1983	84	Every Breath You Take	The Police	1983	TRUE	TRUE	https://www.youtube.com/watch?v=OMOGaugKpzs
SlyAndTheFamilyStone_EverydayPeople_1968	145	Everyday People	Sly and the Family Stone	1968	FALSE	FALSE	https://www.youtube.com/watch?v=YUUhDoCx8zc
Radiohead_FakePlasticTrees_1995	376	Fake Plastic Trees	Radiohead	1995	TRUE	TRUE	https://www.youtube.com/watch?v=n5h0qHwNrHk
SlyAndTheFamilyStone_FamilyAffair_1971	138	Family Affair	Sly and the Family Stone	1971	FALSE	FALSE	https://www.youtube.com/watch?v=MbT_ask1Cco
TracyChapman_FastCar_1988	165	Fast Car	Tracy Chapman	1988	TRUE	TRUE	https://www.youtube.com/watch?v=IxXO2ybSvfg
JohnnyCash_FolsomPrisonBlues_1956	164	Folsom Prison Blues	Johnny Cash	1956	FALSE	FALSE	https://www.youtube.com/watch?v=or8hZmWN96Q
BuffaloSpringfield_ForWhatItsWorth_1967	63	For What It's Worth	Buffalo Springfield	1967	FALSE	FALSE	https://www.youtube.com/watch?v=gp5JCrSXkJY
CreedenceClearwaterRevival_FortunateSon_1969	99	Fortunate Son	Creedence Clearwater Revival	1969	FALSE	FALSE	https://www.youtube.com/watch?v=ec0XKhAHR5I
TheJimiHendrixExperience_FoxeyLady_1965	152	Foxey Lady	The Jimi Hendrix Experience	1965	FALSE	FALSE	https://www.youtube.com/watch?v=_PVjcIO4MT4
TomPetty_FreeFallin_1989	177	Free Fallin'	Tom Petty	1989	TRUE	TRUE	https://www.youtube.com/watch?v=1lWJXDG2i0A
RayCharles_GeorgiaOnMyMind_1960	44	Georgia on My Miind	Ray Charles	1960	FALSE	FALSE	https://www.youtube.com/watch?v=-DFhuE_XeT8
TheRollingStones_GimmeShelter_1969	38	Gimme Shelter	The Rolling Stones	1969	FALSE	FALSE	https://www.youtube.com/watch?v=SBva-z1AsGk
FleetwoodMac_GoYourOwnWay_1977	119	Go Your Own Way	Fleetwood Mac	1977	FALSE	FALSE	https://www.youtube.com/watch?v=ozl3L9fhKtE
TheBeachBoys_GodOnlyKnows_1966	25	God Only Knows	The Beach Boys	1966	TRUE	FALSE	https://www.youtube.com/watch?v=lpd4jzKA4SA
TheSexPistols_GodSaveTheQueen_1977	173	God Save the Queen	The Sex Pistols	1977	FALSE	FALSE	https://www.youtube.com/watch?v=RvMxqcgBhWQ
LittleRichard_GoodGollyMissMolly_1958	94	Good Golly, Miss Molly	Little Richard	1958	TRUE	TRUE	https://www.youtube.com/watch?v=vPKDjqDflBc
TheBeachBoys_GoodVibrations_1966	6	Good Vibrations	The Beach Boys	1966	TRUE	FALSE	https://www.youtube.com/watch?v=mdt0SOqPJcg
JerryLeeLewis_GreatBallsOfFire_1957	96	Great Balls Of Fire	Jerry Lee Lewis	1957	TRUE	TRUE	https://www.youtube.com/watch?v=BQa7wOu_I_A
JeffBuckley_Hallelujah_1994	259	Hallelujah	Jeff Buckley	1994	TRUE	FALSE	https://www.youtube.com/watch?v=y8AWFf7EAc4
ElvisPresley_HeartbreakHotel_1956	45	Heartbreak Hotel	Elvis Presley	1956	TRUE	FALSE	https://www.youtube.com/watch?v=e9BLw4W5KU8
TheBeatles_Help_1965	29	Help!	The Beatles	1965	TRUE	TRUE	https://www.youtube.com/watch?v=CTsB-llTzyc
DavidBowie_Heroes_1977	46	Heroes	David Bowie	1977	TRUE	TRUE	https://www.youtube.com/watch?v=A3ol17NnBHk
TheBeatles_HeyJude_1968	8	Hey Jude	The Beatles	1968	TRUE	TRUE	https://www.youtube.com/watch?v=A_MjCqQoLLA
TheRollingStones_HonkyTonkWomen_1969	116	Honky Tonk Women	The Rolling Stones	1969	FALSE	FALSE	https://www.youtube.com/watch?v=gqtJELaLG5k
DonnaSummer_HotStuff_1979	103	Hot Stuff	Donna Summer	1979	TRUE	TRUE	https://www.youtube.com/watch?v=AqS4aNi0HQY
TheEagles_HotelCalifornia_1976	49	Hotel California	The Eagles	1976	TRUE	TRUE	https://www.youtube.com/watch?v=nKnbty_Kdc0
ElvisPresley_HoundDog_1956	19	Hound Dog	Elvis Presley	1956	TRUE	FALSE	https://www.youtube.com/watch?v=aNYWl13IWhY
TheAnimals_HouseOfTheRisingSun_1964	122	House of the Rising Sun	The Animals	1964	FALSE	FALSE	https://www.youtube.com/watch?v=0Fy7opKu46c
